ADDR_GU,CONTENT_ID,CONTENT_NM,CRADLE_COUNT,LATITUDE,LONGITUDE,NEW_ADDR,RENT_ID
동대문구,631,답십리역 1번출구,15.0,37.568184,127.051277,서울특별시 동대문구 천호대로 269답십리역 1번출구,ST-398
동대문구,633,청량리 기업은행 앞,8.0,37.580406,127.044823,서울특별시 동대문구 홍릉로 1청량리 기업은행 앞,ST-400
동대문구,634,외국어대 정문 앞,20.0,37.59602,127.05983,서울특별시 동대문구 이문로 107외국어대 정문 앞,ST-401
동대문구,635,시조사 앞 (청량고정문 옆),12.0,37.587517,127.052773,서울특별시 동대문구 이문로1길 11시조사 앞 (청량고정문 옆),ST-402
동대문구,636,세종대왕기념관 교차로,10.0,37.5909,127.042587,서울특별시 동대문구 회기로 56세종대왕기념관 교차로,ST-403
동대문구,637,KAIST 경영대학 앞,10.0,37.591614,127.045792,서울특별시 동대문구 회기로 85KAIST 경영대학 앞,ST-404
동대문구,638,서울시립대 정보기술관,20.0,37.583008,127.060974,서울특별시 동대문구 한천로43길 12-14서울시립대 정보기술관,ST-405
동대문구,639,서울시립대 후문,14.0,37.585197,127.060951,서울특별시 동대문구 한천로43길 12-14서울시립대 후문,ST-406
동대문구,640,KEB하나은행 청량리역지점,6.0,37.582455,127.044495,서울특별시 동대문구 왕산로 205KEB하나은행 청량리역지점,ST-407
동대문구,641,용두역 4번출구,10.0,37.573753,127.038536,서울특별시 동대문구 청계천로 563용두역 4번출구,ST-408
동대문구,642,신답역 사거리,7.0,37.570156,127.048584,서울특별시 동대문구 천호대로 231신답역 빵굼터 앞,ST-409
동대문구,643,동대문구민체육센터 (육교아래),10.0,37.566971,127.074417,서울특별시 동대문구 장안벚꽃로 77동대문구민체육센터 (육교아래),ST-410
동대문구,646,장한평역 1번출구 (국민은행앞),10.0,37.561867,127.064377,서울특별시 동대문구 천호대로 405장한평역 1번출구 (국민은행앞),ST-1298
동대문구,647,신이문역 1번출구,10.0,37.602798,127.067268,서울특별시 동대문구 신이문로 44신이문역 1번출구,ST-1299
동대문구,648,장안동위더스빌옆,15.0,37.5667,127.062424,서울특별시 동대문구 한천로 42장안동위더스빌옆,ST-1300
동대문구,650,중랑교사거리,20.0,37.591534,127.067741,서울특별시 동대문구 망우로 131중랑교사거리,ST-1302
동대문구,651,우리은행청량리지점앞,10.0,37.582748,127.048279,서울특별시 동대문구 왕산로 239우리은행청량리지점앞,ST-1303
동대문구,652,답십리 래미안엘파인아파트 입구,20.0,37.57653,127.065941,서울특별시 동대문구 사가정로 190답십리 래미안엘파인아파트 입구,ST-1447
동대문구,654,전농동 텃골공원,10.0,37.577621,127.052109,서울특별시 동대문구 사가정로 65전농동 텃골공원,ST-1449
동대문구,656,영휘원 교차로,10.0,37.587238,127.043137,서울특별시 동대문구 홍릉로 78-1영휘원 교차로,ST-1628
동대문구,657,동대문롯데캐슬아파트 앞,13.0,37.57576,127.04837,서울특별시 동대문구 답십리로23길 30동대문롯데캐슬아파트 앞,ST-1629
동대문구,658,촬영소 사거리,10.0,37.572948,127.066147,서울특별시 동대문구 답십리로 233촬영소 사거리,ST-1630
동대문구,659,제기역1번출구,15.0,37.57835,127.033386,서울특별시 동대문구 왕산로 87제기역1번출구,ST-1631
동대문구,660,동의보감타워,10.0,37.577999,127.037628,서울특별시 동대문구 왕산로 128동의보감타워,ST-1632
동대문구,661,경희대학교 청운관,10.0,37.594601,127.051964,서울특별시 동대문구 경희대로 26경희대학교 청운관,ST-1625
동작구,2002,노들역 1번출구,20.0,37.512844,126.952469,서울특별시 동작구 노량진로 지하 238동작구 본동 344-10,ST-683
동작구,2003,사육신공원앞,10.0,37.513359,126.948059,서울특별시 동작구 노량진로 191동작구 노량진동 152-7,ST-877
동작구,2007,유한양행앞,20.0,37.512939,126.934242,서울특별시 동작구 노량진로 74동작구 대방동 47-3,ST-685
동작구,2008,노량진근린공원 대방공원,10.0,37.509369,126.92807,서울특별시 동작구 여의대방로44길 20동작구 대방동 503-2,ST-686
동작구,2009,보라매역 8번출구,10.0,37.500076,126.921082,서울특별시 동작구 상도로 지하 2동작구 대방동 466-51,ST-726
동작구,2012,녹십초요양병원앞,10.0,37.488361,126.906227,서울특별시 동작구 시흥대로 634동작구 신대방동 699,ST-727
동작구,2013,장승배기역 5번출구,30.0,37.505852,126.939362,서울특별시 동작구 상도로 지하 188동작구 노량진동 311-4,ST-687
동작구,2015,신대방삼거리역 6번출구쪽,10.0,37.499855,126.929565,서울특별시 동작구 상도로 지하 76동작구 상도동 329-2,ST-728
동작구,2016,신대방삼거리역 3번출구쪽,10.0,37.499645,126.927094,서울특별시 동작구 상도로 지하 76동작구 대방동 406-10,ST-688
동작구,2020,장승배기역2번출구뒷편쪽,10.0,37.504498,126.938988,서울특별시 동작구 상도로 지하 188동작구 상도동 26-20,ST-690
동작구,2024,상도역 1번출구,10.0,37.502178,126.948204,서울특별시 동작구 상도로 지하 272동작구 상도1동 776,ST-691
동작구,2025,흑석역 1번출구,15.0,37.50938,126.963615,서울특별시 동작구 현충로 지하 90동작구 흑석동 2-28,ST-692
동작구,2026,흑석역 4번출구,10.0,37.509056,126.963249,서울특별시 동작구 현충로 지하 90동작구 현충로 104,ST-932
동작구,2027,중앙대학교 정문,15.0,37.507042,126.959152,서울특별시 동작구 흑석로 47동작구 흑석동 221-1,ST-693
